window,feature,w1,w2,rank,strategy_score,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight,000300_avg_ann,000300_sigma_ann,000300_final_xirr,000905_avg_ann,000905_sigma_ann,000905_final_xirr,000852_avg_ann,000852_sigma_ann,000852_final_xirr,000016_avg_ann,000016_sigma_ann,000016_final_xirr,000688_avg_ann,000688_sigma_ann,000688_final_xirr,399006_avg_ann,399006_sigma_ann,399006_final_xirr,399330_avg_ann,399330_sigma_ann,399330_final_xirr
8,PE_FED,1.0,0.0,2,0.025575,0.05,0.15,0.3,0.65,0.75,0.8,0.95,0.0,0.0,0.0,0.1,0.04,0.02516,0.099991,0.068,-0.003381,0.119352,0.0737,-0.015283,0.127413,0.0931,0.027914,0.081295,0.0394,,,,0.056552,0.063814,0.2561,0.062487,0.075412,0.1868
8,PE_FED,1.0,0.0,3,0.025497,0.1,0.15,0.3,0.65,0.75,0.8,0.95,0.0,0.0,0.0,0.06,0.05,0.025075,0.099934,0.0686,-0.003922,0.122132,0.0712,-0.015036,0.126166,0.0944,0.031098,0.078841,0.0408,,,,0.054303,0.064029,0.249,0.061466,0.076101,0.1878
8,PE_FED,1.0,0.0,4,0.025036,0.1,0.15,0.35,0.65,0.7,0.8,0.95,0.0,0.0,0.0,0.12,0.05,0.024809,0.099932,0.0684,-0.004151,0.122012,0.0713,-0.015771,0.125939,0.0942,0.03022,0.078409,0.0403,,,,0.054029,0.063956,0.2486,0.061081,0.075974,0.1876
8,PE_FED,1.0,0.0,5,0.024882,0.05,0.2,0.35,0.7,0.75,0.8,0.95,-0.5,0.0,0.0,0.1,0.03,0.030562,0.097385,0.0728,-0.004403,0.114479,0.0703,-0.015588,0.124625,0.094,0.036088,0.077406,0.0603,,,,0.042065,0.073702,0.2222,0.060566,0.066667,0.2053
8,PE_PB_FED,1.0,0.0,1,0.021138,0.1,0.15,0.3,0.65,0.7,0.75,0.95,0.0,0.65,0.7,0.1,0.05,0.023761,0.101076,0.0719,-0.007089,0.122894,0.0713,-0.026864,0.133453,0.0682,0.02906,0.081717,0.0448,,,,0.046474,0.063956,0.2529,0.061485,0.075941,0.1743
8,PE_PB_FED,1.0,0.0,2,0.020248,0.1,0.15,0.45,0.65,0.7,0.75,0.95,0.0,0.65,0.8,0.1,0.03,0.022374,0.099625,0.0779,-0.011879,0.119402,0.0718,-0.029201,0.136065,0.0809,0.034838,0.080458,0.0684,,,,0.045817,0.06397,0.2516,0.05954,0.073601,0.1977
8,PE_PB_FED,1.0,0.0,3,0.019791,0.05,0.15,0.4,0.7,0.7,0.8,0.95,-0.5,0.65,0.8,0.12,0.04,0.023032,0.09849,0.0687,0.000653,0.115452,0.0768,-0.023494,0.131869,0.1069,0.023675,0.081166,0.0417,,,,0.034714,0.076297,0.2256,0.060168,0.072243,0.1837
8,PE_PB_FED,1.0,0.0,4,0.019761,0.1,0.15,0.45,0.6,0.7,0.75,0.95,0.0,0.65,0.8,0.08,0.03,0.02201,0.101438,0.0777,-0.012489,0.119997,0.0718,-0.030336,0.138066,0.0805,0.034299,0.082399,0.0683,,,,0.045817,0.06397,0.2516,0.059267,0.074527,0.1987
8,PE_PB_FED,1.0,0.0,5,0.019297,0.1,0.2,0.35,0.7,0.65,0.8,0.95,0.0,0.65,0.8,0.08,0.05,0.021843,0.098493,0.07,-0.010244,0.124808,0.0731,-0.029372,0.136025,0.1066,0.026337,0.080339,0.0425,,,,0.047945,0.065636,0.2522,0.059271,0.076348,0.1872
8,PB_only,1.0,0.0,1,0.029824,0.1,0.15,0.3,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.12,0.03,0.024507,0.090845,0.0614,0.018991,0.105937,0.0928,0.015151,0.118714,0.0774,0.03844,0.065734,0.0632,,,,0.02328,0.07684,0.1933,0.058578,0.067897,0.1926
8,PB_only,1.0,0.0,2,0.029419,0.1,0.15,0.3,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.06,0.03,0.032187,0.090054,0.1033,0.017691,0.106652,0.0841,0.017845,0.119325,0.1302,0.042346,0.064538,0.1065,,,,0.017903,0.074521,0.2032,0.048541,0.05905,0.2049
8,PB_only,1.0,0.0,3,0.029098,0.1,0.15,0.3,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.1,0.03,0.02905,0.090167,0.079,0.018272,0.106102,0.0847,0.019466,0.119458,0.1125,0.041968,0.065712,0.0725,,,,0.016565,0.071944,0.1878,0.049265,0.061677,0.1952
8,PB_only,1.0,0.0,4,0.028938,0.05,0.15,0.3,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.08,0.04,0.029837,0.09048,0.0721,0.016492,0.106313,0.088,0.016276,0.11897,0.1069,0.034001,0.066412,0.0579,,,,0.021624,0.072864,0.1969,0.055398,0.059526,0.1934
8,PB_only,1.0,0.0,5,0.028728,0.1,0.15,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.06,0.05,0.029695,0.090081,0.0855,0.018531,0.106334,0.0815,0.015137,0.118893,0.1064,0.036696,0.064778,0.0659,,,,0.023491,0.077914,0.2095,0.048816,0.059326,0.1846
8,PB_FED,1.0,0.0,1,0.030227,0.1,0.15,0.35,0.7,0.7,0.75,0.9,-0.5,0.0,0.0,0.12,0.04,0.028567,0.091035,0.0722,0.011672,0.109523,0.0893,0.008852,0.122461,0.1077,0.03437,0.067755,0.0583,,,,0.043183,0.070438,0.2368,0.054716,0.054741,0.2004
8,PB_FED,1.0,0.0,2,0.030166,0.1,0.15,0.35,0.7,0.7,0.75,0.85,-0.5,0.0,0.0,0.1,0.03,0.031372,0.089641,0.1017,0.011609,0.109515,0.0848,0.008237,0.122809,0.1289,0.040754,0.067015,0.1035,,,,0.04099,0.06929,0.2453,0.048037,0.047504,0.2083
8,PB_FED,1.0,0.0,3,0.030068,0.1,0.15,0.3,0.7,0.75,0.8,0.9,0.0,0.0,0.0,0.08,0.03,0.026605,0.093068,0.0898,0.003848,0.110519,0.0888,0.00687,0.126651,0.1122,0.041163,0.066366,0.073,,,,0.052554,0.055878,0.2676,0.049371,0.057357,0.2097
8,PB_FED,1.0,0.0,4,0.029938,0.15,0.2,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.1,0.04,0.030654,0.092377,0.1062,0.002619,0.112806,0.0863,0.001216,0.1302,0.1121,0.037573,0.065844,0.0829,,,,0.060705,0.06358,0.2964,0.04686,0.051873,0.2019
8,PB_FED,1.0,0.0,5,0.029708,0.1,0.2,0.3,0.7,0.65,0.75,0.9,-0.5,0.0,0.0,0.06,0.04,0.029473,0.09085,0.0728,0.010718,0.10988,0.0894,0.007467,0.127346,0.1088,0.035125,0.065307,0.0595,,,,0.04101,0.071188,0.2366,0.054454,0.055292,0.2036
