window,feature,strategy_score,pe_buy_floor,pe_buy_low,pe_buy_mid,pe_buy_high,pe_sell_warn,pe_sell_heavy,pe_sell_extreme,fed_buy_threshold,pb_veto_threshold,pb_confirm_threshold,drawdown_standard,drawdown_tight
8,PB_only,-0.018618,0.15,0.2,0.4,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.12,0.03
8,PB_only,-0.01865,0.15,0.2,0.3,0.7,0.75,0.8,0.95,0.0,0.0,0.0,0.08,0.03
8,PB_only,-0.018651,0.1,0.2,0.35,0.7,0.75,0.85,0.9,0.0,0.0,0.0,0.08,0.03
8,PB_only,-0.018661,0.05,0.2,0.3,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.08,0.05
8,PB_only,-0.018681,0.15,0.25,0.35,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_only,-0.018687,0.1,0.25,0.3,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.1,0.04
8,PB_FED,-0.018702,0.15,0.25,0.4,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.08,0.04
8,PB_only,-0.018709,0.05,0.15,0.45,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.06,0.04
8,PB_only,-0.018714,0.05,0.25,0.3,0.7,0.75,0.85,0.9,0.0,0.0,0.0,0.12,0.03
8,PB_FED,-0.018739,0.1,0.2,0.45,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_FED,-0.01874,0.15,0.2,0.3,0.65,0.65,0.8,0.85,-0.5,0.0,0.0,0.12,0.04
8,PB_only,-0.018743,0.15,0.25,0.3,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.1,0.03
8,PB_FED,-0.018751,0.05,0.25,0.3,0.7,0.7,0.75,0.95,-0.5,0.0,0.0,0.06,0.05
8,PB_FED,-0.018751,0.1,0.25,0.35,0.7,0.65,0.75,0.85,-0.5,0.0,0.0,0.06,0.05
8,PB_FED,-0.018755,0.05,0.2,0.45,0.7,0.7,0.8,0.85,-0.5,0.0,0.0,0.06,0.04
8,PB_only,-0.018756,0.1,0.15,0.35,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.08,0.05
8,PB_only,-0.018763,0.1,0.15,0.45,0.7,0.65,0.8,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_FED,-0.01877,0.05,0.2,0.3,0.65,0.75,0.8,0.85,-0.5,0.0,0.0,0.12,0.03
8,PB_only,-0.018782,0.05,0.15,0.3,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.06,0.04
8,PB_FED,-0.018788,0.05,0.15,0.35,0.7,0.65,0.8,0.95,-0.5,0.0,0.0,0.12,0.04
8,PB_FED,-0.018808,0.1,0.2,0.45,0.7,0.65,0.75,0.9,-0.5,0.0,0.0,0.06,0.05
8,PB_FED,-0.018816,0.1,0.2,0.3,0.65,0.75,0.85,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_only,-0.018832,0.15,0.25,0.4,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.1,0.03
8,PB_only,-0.018854,0.05,0.2,0.4,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_only,-0.018887,0.15,0.25,0.35,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_FED,-0.01894,0.05,0.2,0.35,0.7,0.65,0.75,0.95,-0.5,0.0,0.0,0.12,0.05
8,PB_only,-0.01895,0.1,0.2,0.35,0.7,0.65,0.8,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_only,-0.01895,0.1,0.2,0.35,0.7,0.65,0.8,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_only,-0.018957,0.1,0.25,0.3,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.1,0.05
8,PB_only,-0.018961,0.05,0.15,0.35,0.7,0.65,0.75,0.95,0.0,0.0,0.0,0.12,0.05
8,PB_only,-0.018967,0.05,0.15,0.4,0.7,0.7,0.85,0.9,0.0,0.0,0.0,0.12,0.04
8,PB_only,-0.018993,0.05,0.15,0.45,0.7,0.65,0.8,0.9,0.0,0.0,0.0,0.12,0.03
8,PB_FED,-0.018996,0.15,0.25,0.45,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.12,0.04
8,PB_only,-0.019009,0.05,0.2,0.3,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.1,0.05
8,PB_only,-0.019013,0.05,0.15,0.3,0.65,0.65,0.8,0.85,0.0,0.0,0.0,0.08,0.03
8,PB_only,-0.019015,0.05,0.2,0.35,0.7,0.65,0.8,0.9,0.0,0.0,0.0,0.12,0.03
8,PB_only,-0.019048,0.1,0.2,0.35,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.12,0.03
8,PB_only,-0.019069,0.1,0.25,0.35,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_FED,-0.019073,0.05,0.15,0.3,0.6,0.7,0.75,0.85,0.0,0.0,0.0,0.08,0.04
8,PB_only,-0.019076,0.05,0.15,0.4,0.7,0.7,0.8,0.9,0.0,0.0,0.0,0.08,0.05
8,PB_only,-0.019097,0.05,0.25,0.35,0.7,0.7,0.75,0.85,0.0,0.0,0.0,0.06,0.04
8,PB_FED,-0.019102,0.05,0.2,0.3,0.65,0.65,0.8,0.85,-0.5,0.0,0.0,0.1,0.03
8,PB_only,-0.019107,0.1,0.2,0.4,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.12,0.04
8,PB_FED,-0.019131,0.1,0.15,0.3,0.6,0.7,0.8,0.85,0.0,0.0,0.0,0.06,0.04
8,PB_FED,-0.019135,0.1,0.25,0.35,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.06,0.05
8,PB_only,-0.019174,0.1,0.15,0.3,0.65,0.65,0.8,0.85,0.0,0.0,0.0,0.12,0.04
8,PB_only,-0.019185,0.1,0.15,0.35,0.7,0.7,0.8,0.95,0.0,0.0,0.0,0.12,0.05
8,PB_FED,-0.019205,0.1,0.25,0.35,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.1,0.05
8,PB_only,-0.019207,0.1,0.25,0.4,0.7,0.7,0.75,0.9,0.0,0.0,0.0,0.08,0.03
8,PB_FED,-0.01922,0.1,0.25,0.3,0.7,0.75,0.85,0.95,-0.5,0.0,0.0,0.1,0.05
8,PB_only,-0.019222,0.15,0.25,0.4,0.7,0.7,0.8,0.85,0.0,0.0,0.0,0.12,0.04
8,PB_only,-0.019234,0.15,0.2,0.4,0.7,0.65,0.75,0.9,0.0,0.0,0.0,0.1,0.04
8,PB_only,-0.019272,0.1,0.15,0.4,0.7,0.75,0.85,0.9,0.0,0.0,0.0,0.06,0.05
8,PB_FED,-0.019299,0.05,0.2,0.3,0.7,0.75,0.85,0.95,0.0,0.0,0.0,0.08,0.04
8,PB_only,-0.019353,0.05,0.15,0.4,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.1,0.04
8,PB_only,-0.019402,0.1,0.25,0.4,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.1,0.03
8,PB_only,-0.019408,0.1,0.2,0.45,0.7,0.65,0.75,0.9,0.0,0.0,0.0,0.1,0.03
8,PB_FED,-0.019418,0.1,0.25,0.3,0.65,0.65,0.8,0.85,-0.5,0.0,0.0,0.08,0.04
8,PB_only,-0.019421,0.1,0.25,0.3,0.7,0.65,0.75,0.85,0.0,0.0,0.0,0.08,0.05
8,PB_FED,-0.019422,0.15,0.25,0.35,0.7,0.65,0.85,0.9,-0.5,0.0,0.0,0.08,0.04
8,PB_FED,-0.019423,0.2,0.25,0.4,0.7,0.75,0.8,0.9,-0.5,0.0,0.0,0.12,0.03
8,PB_FED,-0.019425,0.1,0.2,0.3,0.65,0.75,0.8,0.9,0.0,0.0,0.0,0.12,0.05
8,PB_FED,-0.01946,0.15,0.25,0.35,0.7,0.75,0.8,0.85,0.0,0.0,0.0,0.12,0.05
8,PB_FED,-0.019464,0.1,0.15,0.3,0.65,0.75,0.85,0.95,0.0,0.0,0.0,0.1,0.04
8,PB_FED,-0.019466,0.1,0.3,0.35,0.7,0.75,0.8,0.85,-0.5,0.0,0.0,0.06,0.04
8,PB_only,-0.019469,0.15,0.2,0.3,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.12,0.05
8,PB_only,-0.019473,0.1,0.25,0.35,0.7,0.65,0.8,0.85,0.0,0.0,0.0,0.1,0.04
8,PB_only,-0.019478,0.1,0.2,0.35,0.7,0.75,0.85,0.9,0.0,0.0,0.0,0.1,0.04
8,PB_only,-0.019485,0.1,0.25,0.3,0.7,0.7,0.75,0.95,0.0,0.0,0.0,0.06,0.04
8,PB_FED,-0.019496,0.05,0.15,0.3,0.65,0.65,0.85,0.95,0.0,0.0,0.0,0.06,0.03
8,PB_only,-0.019503,0.1,0.15,0.4,0.7,0.75,0.8,0.95,0.0,0.0,0.0,0.1,0.04
8,PB_only,-0.019519,0.05,0.2,0.4,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.06,0.03
8,PB_only,-0.019519,0.05,0.2,0.4,0.7,0.65,0.85,0.9,0.0,0.0,0.0,0.12,0.03
8,PB_FED,-0.01952,0.15,0.25,0.35,0.7,0.65,0.8,0.95,-0.5,0.0,0.0,0.08,0.03
8,PB_only,-0.019544,0.05,0.2,0.35,0.7,0.65,0.8,0.85,0.0,0.0,0.0,0.06,0.05
