he,ex,dt,heavy_ratio,extreme_ratio,000300_xirr,000300_return,000300_trades,000300_buys,000300_sells,000905_xirr,000905_return,000905_trades,000905_buys,000905_sells,000852_xirr,000852_return,000852_trades,000852_buys,000852_sells,000016_xirr,000016_return,000016_trades,000016_buys,000016_sells,399006_xirr,399006_return,399006_trades,399006_buys,399006_sells,399330_xirr,399330_return,399330_trades,399330_buys,399330_sells,avg_xirr,n_indices
0.8,0.85,0.05,0.2,0.5,0.117,0.252405,326,314,12,0.1074,0.269804,300,285,15,0.1708,0.384302,257,240,17,0.1431,0.228663,305,285,20,0.2568,0.74537,266,249,17,0.1963,0.37849,290,272,18,0.165233,6
0.8,0.85,0.03,0.25,0.5,0.1182,0.245514,328,314,14,0.1136,0.260815,300,285,15,0.1819,0.403367,259,240,19,0.1475,0.200854,310,284,26,0.2461,0.73061,269,249,20,0.1839,0.356642,296,272,24,0.1652,6
0.8,0.9,0.03,0.25,0.35,0.12,0.251549,330,314,16,0.1141,0.26593,301,285,16,0.1771,0.400758,263,240,23,0.1518,0.211082,311,284,27,0.2287,0.69274,274,249,25,0.1992,0.344434,302,271,31,0.16515,6
0.8,0.9,0.03,0.25,0.5,0.1207,0.250015,330,314,16,0.113,0.257783,301,285,16,0.18,0.4004,263,240,23,0.154,0.212461,311,284,27,0.2258,0.685158,274,249,25,0.196,0.337838,302,271,31,0.164917,6
0.8,0.85,0.03,0.2,0.35,0.1171,0.252782,328,314,14,0.1108,0.287588,300,285,15,0.1719,0.399644,259,240,19,0.1436,0.209372,310,284,26,0.2504,0.739486,269,249,20,0.1914,0.374656,296,272,24,0.1642,6
0.8,0.85,0.04,0.2,0.25,0.1143,0.256879,328,314,14,0.1109,0.294776,300,285,15,0.1593,0.389643,257,240,17,0.1344,0.212853,307,284,23,0.261,0.784705,267,249,18,0.2053,0.419007,292,272,20,0.1642,6
0.8,0.85,0.05,0.2,0.35,0.1139,0.254978,326,314,12,0.1091,0.282027,300,285,15,0.1643,0.386571,257,240,17,0.1336,0.221869,305,285,20,0.2602,0.766892,266,249,17,0.2032,0.404457,290,272,18,0.16405,6
0.75,0.85,0.03,0.25,0.35,0.1171,0.243021,329,312,17,0.1142,0.260606,301,285,16,0.1753,0.375205,260,236,24,0.1535,0.196967,306,278,28,0.2277,0.6666,271,249,22,0.1964,0.349248,294,267,27,0.164033,6
0.8,0.85,0.03,0.2,0.25,0.1148,0.256026,328,314,14,0.1115,0.296612,300,285,15,0.1647,0.398953,259,240,19,0.1407,0.213209,310,284,26,0.2533,0.760703,269,249,20,0.1978,0.394093,296,272,24,0.1638,6
0.8,0.95,0.03,0.2,0.5,0.1165,0.254431,331,314,17,0.1169,0.299376,303,285,18,0.1726,0.399963,265,240,25,0.1501,0.218785,311,284,27,0.23,0.686851,276,249,27,0.1965,0.347385,307,271,36,0.163767,6
